Source,Target,Weight,Type,origine,servizi
mef,ade,2,Directed,ricostruita,"Anagrafe Dipendenti Pubblici; noiPA"
mef,istat,2,Directed,ricostruita,"Anagrafe Dipendenti Pubblici; noiPA"
mef,agid,1,Directed,ricostruita,Anagrafe Dipendenti Pubblici
mef,mlps,1,Directed,ricostruita,Anagrafe Dipendenti Pubblici
ade_riscossione,c_milano,1,Directed,ricostruita,Situazione Debitoria
ade_riscossione,c_roma,1,Directed,ricostruita,Situazione Debitoria
ade_riscossione,comuni_agg,1,Directed,ricostruita,Situazione Debitoria
ade_riscossione,mef,1,Directed,ricostruita,Situazione Debitoria
ade_riscossione,ade,1,Directed,ricostruita,Situazione Debitoria
ade_riscossione,inps,1,Directed,ricostruita,Situazione Debitoria
mur,inps,1,Directed,ricostruita,ANIS – Anagrafe Studenti
mur,mef,1,Directed,ricostruita,ANIS – Anagrafe Studenti
mur,istat,1,Directed,ricostruita,ANIS – Anagrafe Studenti
mur,mlps,1,Directed,ricostruita,ANIS – Anagrafe Studenti
cineca,mur,3,Directed,ricostruita,"IFS01 – Offerta Formativa; IFS02 – Iscrizioni Accademiche; IFS03 – Titoli Accademici"
cineca,inps,3,Directed,ricostruita,"IFS01 – Offerta Formativa; IFS02 – Iscrizioni Accademiche; IFS03 – Titoli Accademici"
cineca,istat,1,Directed,ricostruita,IFS01 – Offerta Formativa
cineca,mef,2,Directed,ricostruita,"IFS02 – Iscrizioni Accademiche; IFS03 – Titoli Accademici"
cineca,mlps,1,Directed,ricostruita,IFS03 – Titoli Accademici
istat,r_lombardia,1,Directed,ricostruita,Dati Statistici Territoriali
istat,r_lazio,1,Directed,ricostruita,Dati Statistici Territoriali
istat,r_campania,1,Directed,ricostruita,Dati Statistici Territoriali
istat,r_sicilia,1,Directed,ricostruita,Dati Statistici Territoriali
istat,c_milano,1,Directed,ricostruita,Dati Statistici Territoriali
istat,c_roma,1,Directed,ricostruita,Dati Statistici Territoriali
istat,mef,1,Directed,ricostruita,Dati Statistici Territoriali
istat,agid,1,Directed,ricostruita,Dati Statistici Territoriali
